,casualties_id,casualties,fatalities,serious_injuries,minor_injuries
169304,13c10s3m,13.0,0.0,10.0,3.0
170810,7c1f4s2m,7.0,1.0,4.0,2.0
171460,6c5f1s,6.0,5.0,1.0,0.0
173168,10c10m,10.0,0.0,0.0,10.0
176362,5c3f1s1m,5.0,3.0,1.0,1.0
176907,14c3s11m,14.0,0.0,3.0,11.0
177948,8c6s2m,8.0,0.0,6.0,2.0
178049,7c1f5s1m,7.0,1.0,5.0,1.0
179819,15c6s9m,15.0,0.0,6.0,9.0
182200,9c9s,9.0,0.0,9.0,0.0
182497,8c1f5s2m,8.0,1.0,5.0,2.0
183094,10c1s9m,10.0,0.0,1.0,9.0
188392,8c7s1m,8.0,0.0,7.0,1.0
188654,9c1s8m,9.0,0.0,1.0,8.0
192264,10c10s,10.0,0.0,10.0,0.0
193024,12c3s9m,12.0,0.0,3.0,9.0
196378,5c4f1m,5.0,4.0,0.0,1.0
196446,9c1f6s2m,9.0,1.0,6.0,2.0
196858,6c6f,6.0,6.0,0.0,0.0
201123,7c6s1m,7.0,0.0,6.0,1.0
210073,9c1f7s1m,9.0,1.0,7.0,1.0
210902,14c1f2s11m,14.0,1.0,2.0,11.0
212257,7c5f2s,7.0,5.0,2.0,0.0
213600,8c1f2s5m,8.0,1.0,2.0,5.0
213651,10c2s8m,10.0,0.0,2.0,8.0
227074,10c1f1s8m,10.0,1.0,1.0,8.0
227145,7c2f4s1m,7.0,2.0,4.0,1.0
227789,8c2f5s1m,8.0,2.0,5.0,1.0
229654,6c4f2m,6.0,4.0,0.0,2.0
230037,7c4f3s,7.0,4.0,3.0,0.0
231084,9c1f3s5m,9.0,1.0,3.0,5.0
235559,23c23m,23.0,0.0,0.0,23.0
236603,7c2f1s4m,7.0,2.0,1.0,4.0
244859,11c11m,11.0,0.0,0.0,11.0
246227,6c1f2s3m,6.0,1.0,2.0,3.0
249696,6c2f2s2m,6.0,2.0,2.0,2.0
251197,10c2f7s1m,10.0,2.0,7.0,1.0
251385,13c13m,13.0,0.0,0.0,13.0
253168,12c12m,12.0,0.0,0.0,12.0
254861,27c1f1s25m,27.0,1.0,1.0,25.0
259062,12c8s4m,12.0,0.0,8.0,4.0
261697,9c5s4m,9.0,0.0,5.0,4.0
263100,11c1f1s9m,11.0,1.0,1.0,9.0
265123,19c11s8m,19.0,0.0,11.0,8.0
277159,23c1s22m,23.0,0.0,1.0,22.0
278222,14c3f10s1m,14.0,3.0,10.0,1.0
281884,19c2f17s,19.0,2.0,17.0,0.0
283711,20c7s13m,20.0,0.0,7.0,13.0
289065,5c4f1s,5.0,4.0,1.0,0.0
296562,10c3s7m,10.0,0.0,3.0,7.0
302969,46c1f2s43m,46.0,1.0,2.0,43.0
303556,7c2f3s2m,7.0,2.0,3.0,2.0
305554,7c1f1s5m,7.0,1.0,1.0,5.0
307423,11c10s1m,11.0,0.0,10.0,1.0
307487,7c2f2s3m,7.0,2.0,2.0,3.0
307499,5c2f1s2m,5.0,2.0,1.0,2.0
307558,5c3f2m,5.0,3.0,0.0,2.0
307629,5c5f,5.0,5.0,0.0,0.0
307687,6c4f1s1m,6.0,4.0,1.0,1.0
307698,8c1f7m,8.0,1.0,0.0,7.0
315307,11c3s8m,11.0,0.0,3.0,8.0
319673,7c6f1m,7.0,6.0,0.0,1.0
336669,6c4f2s,6.0,4.0,2.0,0.0
341677,8c3f5s,8.0,3.0,5.0,0.0
344187,11c4s7m,11.0,0.0,4.0,7.0
376641,9c2f2s5m,9.0,2.0,2.0,5.0
376682,7c2f5m,7.0,2.0,0.0,5.0
